Page Views,Session Duration,Bounce Rate,Traffic Source,Time on Page,Previous Visits,Conversion Rate
7155,167.149371,30.12713242,Organic,477.6222358,93,15.92829781
13321,667.6032409,57.19520805,Social,120.7691053,78,1.36989696
8855,233.5792899,54.68787672,Direct,36.93586068,75,15.23218483
11602,292.4723284,22.54075785,Social,433.7054731,90,4.068562792
14375,467.7548332,55.15160932,Referral,351.4439608,82,5.912376115
7125,707.205584,32.27853911,Organic,197.582501,30,14.19068028
7515,197.6638364,39.02308677,Referral,579.5206705,54,15.67668836
6158,554.8345484,25.84877271,Organic,388.1106498,95,3.134761444
17402,250.561048,59.75076101,Social,333.5320018,92,12.67751881
5079,223.6606447,25.37406413,Direct,298.788659,80,11.95111442
16705,336.8963661,37.94675307,Direct,147.1552325,72,10.32403404
13656,100.9659239,44.13656056,Direct,523.9568187,52,1.227689946
17518,533.6073222,38.92028665,Social,312.7291099,69,11.74081727
10196,166.5015616,33.59293331,Organic,514.2207979,12,15.26629371
17632,414.8418938,30.17418441,Organic,291.2537454,97,15.62151445
7661,787.4291221,65.60083662,Organic,108.6949246,51,14.11826404
5185,662.6209026,21.98178155,Referral,86.30705332,9,17.1997115
10490,345.5115518,62.68588997,Referral,86.098044,40,6.360838852
7883,580.1152054,61.17347647,Referral,322.0449293,52,19.55738419
16130,815.4356908,65.66683495,Social,478.4462175,79,9.504312074
17186,623.9621472,36.49530888,Social,199.5490741,38,11.69021446
19357,786.5949297,27.28039538,Organic,544.0589021,66,17.56492126
17987,662.8029441,43.81458128,Referral,60.16232977,11,1.289398824
6931,120.7726382,21.18712257,Organic,349.5388191,14,10.93091274
11055,876.7577562,43.22948889,Referral,175.3608828,1,5.176610417
13703,607.6518928,31.69172688,Direct,445.5169407,56,18.91758016
13698,354.4204823,52.38485393,Direct,77.19731628,63,13.57185047
12698,662.5816791,68.58884745,Organic,97.70282993,81,5.669791459
6544,812.3928416,50.97274409,Referral,484.0162561,24,3.310458701
18423,299.1788089,53.20153222,Referral,572.4097661,77,11.09636554
12990,136.6518512,42.52177512,Social,481.225192,9,19.12825462
17956,820.8013756,63.99803796,Social,436.5234614,9,12.88748815
18542,624.5807719,65.17195576,Direct,178.7621888,81,5.270422454
6537,217.5246683,60.14610055,Social,110.0026217,25,13.92112141
12907,241.4180715,67.15094299,Social,160.0418818,15,6.048102412
8690,598.3057281,67.17516333,Organic,484.6728364,66,2.526565858
14702,463.6670833,32.6942148,Referral,121.1516693,38,9.693326332
10281,881.6698429,68.50529762,Referral,129.9761466,15,13.84463431
8893,366.2073524,25.71158534,Direct,137.060965,68,14.38760337
15806,510.6823929,23.59861628,Organic,347.2649565,50,18.54373925
14633,797.0768272,42.46383273,Referral,315.3612738,73,19.21213616
11515,825.9180007,67.32390909,Organic,390.5425686,64,2.676764736
5024,132.4732007,60.56878743,Organic,595.4050667,92,8.338625377
12911,532.7171717,67.19497566,Referral,176.1524246,32,16.65544316
19315,156.8906053,65.49014714,Social,453.1358022,28,14.18473578
14464,468.0392915,50.68365504,Direct,521.6035094,66,7.426514599
16711,650.2901644,23.38545028,Referral,170.3015248,32,18.31556037
12428,529.9397431,44.18934487,Referral,356.9559031,62,13.05372553
10100,261.6373714,29.19007189,Social,357.8543355,38,1.289617332
15812,828.3104579,22.20595693,Social,451.7968832,34,4.001305945
7501,172.5031284,37.47083158,Social,230.2770929,29,7.200420356
10169,552.575086,46.96055536,Referral,358.7717986,93,19.60755125
19693,308.9643136,60.64395383,Social,233.3659913,73,8.384472845
6014,718.7174801,52.09177847,Referral,488.1231517,40,3.678956927
5468,692.2197081,44.39729399,Referral,263.6547714,83,11.39339057
10675,351.2320105,38.17423559,Organic,214.8518894,99,4.125365854
8912,581.2956557,67.68520407,Direct,342.1017589,89,19.13948047
17670,427.7572025,38.24403169,Organic,590.2399729,87,19.33718488
18031,579.8285611,42.55226615,Direct,149.7443946,57,14.20524328
17040,716.6370769,30.12247543,Social,140.7586145,35,1.213969499
9053,875.6693616,38.70404103,Social,480.2568625,90,12.68921335
11514,434.7019166,53.44067016,Organic,378.7610894,57,12.56629321
18739,472.8799807,35.13396988,Organic,296.7473434,20,14.12358773
11856,208.7984915,39.70604786,Direct,511.9261324,26,15.50542779
9591,574.2698256,61.81394965,Referral,214.1070507,71,12.83909035
13615,868.6741263,21.96154505,Referral,587.6600529,38,4.46807148
6517,717.3527484,63.38715799,Referral,44.0102401,80,11.34528452
15267,172.6780216,52.07581809,Organic,333.5960541,38,14.7997478
9296,757.7795698,36.33316615,Organic,569.3890306,16,9.693397251
15532,554.6675021,27.93130353,Social,77.01785167,80,3.404378933
13916,454.5628578,51.64379981,Referral,521.1219619,76,6.319142797
8549,777.7656661,20.87735583,Social,584.7745351,75,16.69682767
6265,889.0724123,52.65605099,Organic,532.9053778,89,4.559459776
14993,394.4192119,52.98633102,Organic,551.2182272,17,18.59954224
15260,633.4084284,22.05237564,Referral,213.9312543,57,18.72905881
8646,277.5113703,37.49723759,Organic,365.9037148,59,13.74286003
16322,345.3662425,25.50588263,Organic,38.65818009,10,12.25799331
13576,842.7949914,26.95556551,Organic,274.5706571,2,10.43303754
12237,600.2803047,50.56310313,Referral,164.8835833,66,11.96832007
16940,254.5228303,31.94711836,Direct,522.5633395,86,11.42810606
8806,210.6323942,53.52593522,Social,543.4242222,14,16.01561264
8982,848.5741724,39.54534364,Organic,228.4078302,4,13.09128435
11347,358.5265102,45.58893936,Organic,131.4714232,64,1.235636899
17336,866.201806,27.50199787,Referral,342.4269503,5,17.37764053
12226,602.0554157,57.35725117,Direct,535.6689048,29,19.95282026
7574,565.1486546,65.60462556,Organic,64.56047466,90,16.080012
14285,212.281176,57.12352115,Organic,318.7191822,75,15.12206537
12841,155.1191401,55.01072586,Referral,97.9406368,85,14.20324976
6866,383.9139649,54.22601544,Referral,597.2984627,32,1.975525009
19650,636.5313663,20.99134785,Social,376.9613854,85,13.41587688
14092,457.8866437,34.57860863,Referral,413.9204959,44,16.19539526
12878,103.1344034,68.09060554,Direct,581.2093589,33,15.24585552
5487,562.3067882,54.18388505,Direct,513.846028,20,7.889646313
17749,600.9319567,30.24963965,Organic,262.3259746,21,12.69209277
14340,235.4372759,53.79151866,Social,453.2812362,32,18.21445052
13637,324.1836567,40.52254981,Referral,316.9106284,64,16.36598925
9142,603.7667175,26.50136614,Referral,237.1693193,5,18.42002352
11733,188.4529822,38.64661873,Referral,148.7440827,57,14.74582758
8381,117.6496762,63.880997,Social,63.19653394,96,8.172229387
12571,227.0366149,20.33904874,Social,50.41523928,7,14.73306237
10481,149.2331665,69.20326287,Organic,280.5950987,49,5.344839947
7505,178.7101604,45.4036169,Referral,359.5069958,69,12.12206595
17811,898.4661746,53.47824214,Direct,549.2949635,34,18.83925434
10811,354.6054762,40.46420516,Referral,172.0223434,48,16.16747096
9126,207.1154556,61.82598234,Social,101.4927506,6,8.275951589
19374,893.8441143,23.20242235,Referral,354.8538556,8,11.61321938
19835,874.2908918,40.45602104,Social,452.0688663,29,19.52484793
15814,436.0588876,51.06878816,Organic,463.8696576,77,14.19948993
14477,264.9954933,66.70454839,Social,46.79469707,21,6.755687952
14356,405.9658859,55.23971139,Direct,321.5868361,33,11.46898181
19651,182.5092082,56.83762798,Direct,571.0654196,46,13.15248383
17797,296.3159714,53.29170574,Social,457.0450354,27,6.401963719
14930,296.1000273,64.29720282,Organic,299.3653507,3,3.860022593
15769,423.5286451,21.12068322,Direct,180.9410814,6,5.566232684
10221,769.4437181,62.86714591,Social,252.0055189,4,18.53252468
18940,736.9240853,56.25036897,Referral,493.0818015,29,10.05252794
12058,861.4587113,45.96526617,Social,519.6619001,60,13.37923336
15654,743.1576868,51.56103589,Social,62.98310678,81,18.23014547
18245,804.1879574,27.75718846,Referral,96.67961381,66,11.78503905
5656,686.5782758,52.9288569,Direct,391.8626278,14,13.85108873
17306,692.7611022,44.58779488,Referral,580.20566,81,8.389665448
19959,710.5334356,62.20012639,Direct,499.9322924,42,16.49927881
11163,342.2268213,33.7728731,Direct,460.8106183,5,1.661546421
16036,391.476225,31.59668737,Social,506.2072811,30,4.566811689
15214,247.0710339,64.49264828,Referral,129.6509876,64,15.40091226
15518,676.8002884,51.45979316,Direct,112.1548855,69,14.35977625
5775,311.6621185,29.30439801,Social,457.995019,22,11.05232035
11534,726.6724254,44.16499805,Social,295.6857135,6,3.508573199
9454,872.4249045,41.46349784,Social,390.1715148,20,5.423678286
18273,311.028051,51.83718865,Organic,306.7251145,2,12.35671859
9586,870.5633209,62.12963484,Organic,450.8852686,51,19.65796854
13425,398.5110166,34.82159261,Direct,477.5436783,83,4.009029309
